,MLBAMID,leverage_label,pitcher,time_of_game_label
0,405395,Low Leverage,405395,Late
1,424144,Average Leverage,424144,Late
2,425844,Average Leverage,425844,Early
3,425877,Low Leverage,425877,Late
4,429722,Low Leverage,429722,Late
5,431148,Average Leverage,431148,Middle
6,433589,Low Leverage,433589,Middle
7,444482,Low Leverage,444482,Late
8,444876,Low Leverage,444876,Late
9,445213,Low Leverage,445213,Middle
10,445276,Average Leverage,445276,Late
11,445926,Average Leverage,445926,Middle
12,446099,Low Leverage,446099,Late
13,446321,Low Leverage,446321,Late
14,446372,Low Leverage,446372,Middle
15,448179,Average Leverage,448179,Early
16,448281,Average Leverage,448281,Middle
17,448855,Low Leverage,448855,Middle
18,451584,Low Leverage,451584,Late
19,452027,High Leverage,452027,Early
20,452678,Average Leverage,452678,Late
21,453178,High Leverage,453178,Late
22,453192,High Leverage,453192,Middle
23,453265,Average Leverage,453265,Middle
24,453268,Average Leverage,453268,Late
25,453281,Average Leverage,453281,Middle
26,453284,Low Leverage,453284,Late
27,453343,High Leverage,453343,Late
28,455117,High Leverage,455117,Late
29,455119,Average Leverage,455119,Late
30,456034,Average Leverage,456034,Middle
31,456501,Average Leverage,456501,Early
32,456713,Average Leverage,456713,Late
33,457759,Low Leverage,457759,Late
34,457915,Low Leverage,457915,Late
35,458676,Average Leverage,458676,Late
36,458677,Average Leverage,458677,Late
37,458708,Average Leverage,458708,Early
38,459429,High Leverage,459429,Late
39,461325,High Leverage,461325,Late
40,461865,High Leverage,461865,Late
41,461872,Low Leverage,461872,Late
42,465657,Low Leverage,465657,Late
43,467008,Average Leverage,467008,Middle
44,468504,Low Leverage,468504,Middle
45,472551,Low Leverage,472551,Early
46,472610,Low Leverage,472610,Late
47,475054,Average Leverage,475054,Middle
48,475479,Average Leverage,475479,Middle
49,476454,Low Leverage,476454,Middle
50,476595,Average Leverage,476595,Late
51,488748,Low Leverage,488748,Middle
52,488984,Low Leverage,488984,Late
53,489119,Average Leverage,489119,Middle
54,489265,Average Leverage,489265,Late
55,489334,Low Leverage,489334,Middle
56,489446,Average Leverage,489446,Late
57,491624,Average Leverage,491624,Late
58,491703,Low Leverage,491703,Late
59,493603,Average Leverage,493603,Late
60,500610,Low Leverage,500610,Late
61,500743,Low Leverage,500743,Late
62,500779,Average Leverage,500779,Late
63,500871,Low Leverage,500871,Late
64,501303,Low Leverage,501303,Late
65,501381,Average Leverage,501381,Early
66,501593,High Leverage,501593,Early
67,501625,Average Leverage,501625,Middle
68,501789,Low Leverage,501789,Late
69,501925,Average Leverage,501925,Middle
70,502042,Average Leverage,502042,Early
71,502043,Average Leverage,502043,Early
72,502083,Average Leverage,502083,Middle
73,502085,High Leverage,502085,Late
74,502154,High Leverage,502154,Late
75,502179,Low Leverage,502179,Late
76,502202,Low Leverage,502202,Middle
77,502210,Average Leverage,502210,Late
78,502239,Low Leverage,502239,Middle
79,502273,Low Leverage,502273,Late
80,502327,Low Leverage,502327,Early
81,502522,Low Leverage,502522,Late
82,502593,Average Leverage,502593,Early
83,502624,Low Leverage,502624,Middle
84,502706,Low Leverage,502706,Middle
85,502748,Low Leverage,502748,Middle
86,503285,Average Leverage,503285,Middle
87,503449,Average Leverage,503449,Early
88,503556,Average Leverage,503556,Late
89,503569,Average Leverage,503569,Late
90,505447,Low Leverage,505447,Early
91,506702,Low Leverage,506702,Late
92,517008,Low Leverage,517008,Late
93,518397,Average Leverage,518397,Late
94,518435,Low Leverage,518435,Late
95,518489,Average Leverage,518489,Middle
96,518553,Low Leverage,518553,Middle
97,518585,Average Leverage,518585,Middle
98,518586,Low Leverage,518586,Late
99,518617,Average Leverage,518617,Late
100,518626,Average Leverage,518626,Late
101,518633,Average Leverage,518633,Middle
102,518748,Low Leverage,518748,Middle
103,518813,Average Leverage,518813,Late
104,518858,Average Leverage,518858,Late
105,518886,High Leverage,518886,Late
106,519008,Low Leverage,519008,Middle
107,519043,Average Leverage,519043,Late
108,519048,Low Leverage,519048,Late
109,519076,Average Leverage,519076,Late
110,519141,Average Leverage,519141,Late
111,519151,High Leverage,519151,Late
112,519203,Low Leverage,519203,Middle
113,519293,Low Leverage,519293,Late
114,519299,Low Leverage,519299,Late
115,519326,Low Leverage,519326,Late
116,519443,Low Leverage,519443,Late
117,519455,Low Leverage,519455,Early
118,520980,Average Leverage,520980,Late
119,521230,High Leverage,521230,Late
120,523260,Average Leverage,523260,Middle
121,527048,Low Leverage,527048,Late
122,527054,Average Leverage,527054,Early
123,527055,Average Leverage,527055,Middle
124,528748,Low Leverage,528748,Early
125,533167,Average Leverage,533167,Late
126,534812,Low Leverage,534812,Late
127,534910,High Leverage,534910,Late
128,541640,Average Leverage,541640,Middle
129,541650,Low Leverage,541650,Late
130,542194,Low Leverage,542194,Late
131,542208,Average Leverage,542208,Late
132,542585,Low Leverage,542585,Late
133,542881,Average Leverage,542881,Early
134,542882,Average Leverage,542882,Middle
135,542888,Low Leverage,542888,Late
136,542914,Average Leverage,542914,Middle
137,542947,Average Leverage,542947,Middle
138,542960,Low Leverage,542960,Late
139,542992,Low Leverage,542992,Late
140,543022,Average Leverage,543022,Late
141,543045,Low Leverage,543045,Early
142,543056,Average Leverage,543056,Late
143,543063,Low Leverage,543063,Late
144,543101,Average Leverage,543101,Early
145,543238,Low Leverage,543238,Late
146,543258,Low Leverage,543258,Late
147,543272,Low Leverage,543272,Late
148,543278,High Leverage,543278,Late
149,543281,Average Leverage,543281,Late
150,543339,Average Leverage,543339,Late
151,543351,Average Leverage,543351,Late
152,543456,Low Leverage,543456,Late
153,543475,Average Leverage,543475,Early
154,543507,Average Leverage,543507,Late
155,543510,Low Leverage,543510,Late
156,543518,Average Leverage,543518,Late
157,543521,Average Leverage,543521,Middle
158,543543,Low Leverage,543543,Late
159,543548,Low Leverage,543548,Early
160,543594,Low Leverage,543594,Middle
161,543606,Average Leverage,543606,Middle
162,543699,Low Leverage,543699,Early
163,543766,Average Leverage,543766,Late
164,543829,Low Leverage,543829,Late
165,543859,Average Leverage,543859,Early
166,543883,Low Leverage,543883,Early
167,543901,Low Leverage,543901,Late
168,544365,Average Leverage,544365,Middle
169,544727,Average Leverage,544727,Middle
170,545121,Low Leverage,545121,Late
171,545341,Low Leverage,545341,Late
172,545343,Low Leverage,545343,Late
173,546991,Low Leverage,546991,Late
174,547001,Low Leverage,547001,Early
175,547176,Average Leverage,547176,Early
176,547179,Average Leverage,547179,Late
177,547184,Low Leverage,547184,Late
178,547942,Average Leverage,547942,Middle
179,547973,High Leverage,547973,Late
180,548384,Average Leverage,548384,Late
181,548389,Average Leverage,548389,Early
182,552640,High Leverage,552640,Late
183,553902,Average Leverage,553902,Late
184,554340,Low Leverage,554340,Late
185,554431,Average Leverage,554431,Middle
186,570240,Average Leverage,570240,Early
187,570257,Average Leverage,570257,Late
188,570488,Average Leverage,570488,Late
189,570560,Low Leverage,570560,Late
190,570632,Average Leverage,570632,Early
191,570663,High Leverage,570663,Late
192,570666,Average Leverage,570666,Middle
193,570731,Low Leverage,570731,Middle
194,571439,Low Leverage,571439,Early
195,571446,Low Leverage,571446,Late
196,571466,Low Leverage,571466,Late
197,571479,High Leverage,571479,Middle
198,571510,Average Leverage,571510,Middle
199,571521,Low Leverage,571521,Middle
200,571539,Low Leverage,571539,Early
201,571616,Low Leverage,571616,Late
202,571656,Average Leverage,571656,Middle
203,571670,High Leverage,571670,Late
204,571676,Low Leverage,571676,Late
205,571704,Low Leverage,571704,Late
206,571710,High Leverage,571710,Late
207,571735,Low Leverage,571735,Late
208,571760,High Leverage,571760,Middle
209,571788,Low Leverage,571788,Late
210,571800,Average Leverage,571800,Early
211,571863,Average Leverage,571863,Late
212,571871,Low Leverage,571871,Middle
213,571875,Low Leverage,571875,Late
214,571882,Average Leverage,571882,Middle
215,571901,Average Leverage,571901,Middle
216,571912,Low Leverage,571912,Late
217,571917,Low Leverage,571917,Late
218,571927,Average Leverage,571927,Middle
219,571945,Average Leverage,571945,Early
220,571946,Average Leverage,571946,Late
221,571948,Low Leverage,571948,Middle
222,571951,Low Leverage,571951,Late
223,571976,Low Leverage,571976,Late
224,572008,Average Leverage,572008,Late
225,572070,Average Leverage,572070,Late
226,572125,Low Leverage,572125,Late
227,572143,Low Leverage,572143,Middle
228,572191,Low Leverage,572191,Late
229,572193,Average Leverage,572193,Late
230,572362,Low Leverage,572362,Late
231,572383,Low Leverage,572383,Early
232,572403,Average Leverage,572403,Middle
233,572703,Average Leverage,572703,Late
234,572761,Low Leverage,572761,Middle
235,572816,Low Leverage,572816,Late
236,572888,Low Leverage,572888,Late
237,572955,Average Leverage,572955,Late
238,572971,Average Leverage,572971,Middle
239,573009,Average Leverage,573009,Late
240,573062,Low Leverage,573062,Late
241,573109,Average Leverage,573109,Late
242,573124,High Leverage,573124,Late
243,573127,Low Leverage,573127,Late
244,573131,Low Leverage,573131,Late
245,573186,Average Leverage,573186,Late
246,573204,Average Leverage,573204,Middle
247,573668,Average Leverage,573668,Late
248,579328,Low Leverage,579328,Middle
249,591720,Low Leverage,591720,Late
250,592094,Average Leverage,592094,Late
251,592135,Low Leverage,592135,Middle
252,592145,Low Leverage,592145,Late
253,592165,Low Leverage,592165,Middle
254,592169,Low Leverage,592169,Late
255,592222,Low Leverage,592222,Late
256,592229,Low Leverage,592229,Late
257,592233,Average Leverage,592233,Late
